tickIdx,liquidityNet,timestamp,current_tick,pool_id,cumulative_liquidity
-887270,14589213006987811,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14589213006987811
-887260,23703747677073,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-886800,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-875030,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-460540,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-332730,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-203000,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-202860,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-202710,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-202540,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14612916754664884
-92110,398290794261,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-83760,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-83700,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-82720,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-82710,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-82660,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-82650,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-81220,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-78240,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-77290,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-77070,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-76280,29651014881301328537,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,29665628196346787682
-76010,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,29665628196346787682
-75980,-29651014881301328537,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-75630,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-75520,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-75410,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-75060,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-46050,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
-32190,0,1740243820,197036,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14613315045459145
