tickIdx,liquidityNet,timestamp,current_tick,pool_id,cumulative_liquidity
-887270,18348375633995453,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18348375633995453
-887260,23703747677073,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-886800,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-875030,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-460540,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-332730,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-203000,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-202860,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-202710,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-202540,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372079381672526
-92110,398290794261,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-83760,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-83700,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-82720,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-82710,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-82660,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
-82650,0,1742680802,200384,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18372477672466787
