tickIdx,liquidityNet,timestamp,current_tick,pool_id,cumulative_liquidity
-887220,194222216846761864000591,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-375000,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-359940,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-359340,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-348900,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-301980,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,194222216846761864000591
-278760,9235114715599991229359,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-266760,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-256920,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-254220,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-250200,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-248940,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-246480,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-246420,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-244200,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-240480,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-239880,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-239040,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-238200,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-237720,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-237240,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-237180,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,203457331562361855229950
-237060,9774809955922891407380,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-236640,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-235380,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-235260,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-235080,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-235020,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-234780,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-234540,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
-234480,0,1737446402,-191938,0x11950d141ecb863f01007add7d1a342041227b58,213232141518284746637330
