tickIdx,liquidityGross,liquidityNet
261660,19813805533420822,19707693348883728
261720,552232397755756,-177215816292856
261780,585315039892429,-583364698344045
261840,10887680988878861,8863442132691885
261900,2153413376432010,2095546003390450
261960,66565371997642129,-53269663478288607
262020,132144935040495,-51775877624711
262080,14940027561508,-13552930869842
262140,51171122897877357,-51137961445090843
262200,137082018876400,-125620428039620
262260,4759649602873112,-4756142027857248
262320,11425028075284643,11325203005034075
262380,2021881669425349,1351901132393047
262440,6498537079824482,-2298452218948590
262500,48425384780170103,42376092795256005
262560,450863729320408,-430076858003174
262620,822229703193582,-822229703193582
262680,2006684173226497,-1993064250336783
262740,677423573094451,-532230080427101
262800,5731637364110354,-4288359423408126
262860,11061613483285039,10263115291281127
262920,4691713845257472,1907380125414062
262980,9320083888558233,-9320083888558233
263040,40584100425222,-40584100425222
263100,356436151693028,-356436151693028
263160,688878810113448,-669193299857080
263220,4288214386934655,-4261864969741615
263280,2142863666224405,-2140902410908369
263340,27546490674950,-27546490674950
263400,358861547974683,-358861547974683
263460,3793081726775488,-3235086979619026
263520,1591659323959392,-1591659323959392
263580,243472428749297,-243472428749297
263640,2601760143098857,-2601760143098857
263700,91027983416303,-91027983416303
263760,4750284276564443,-4750284276564443
263820,22572947018184772,-21580372143770288
263880,2589487366697461,-2197066362563565
263940,49582916082245793,-49582916082245793
264000,4550170797458947,-4550170797458947
264060,137861025870341,-137861025870341
264120,4792504630958234,2075636101468346
264180,310898681832514,-310898681832514
264240,19446485519961478,-19446485519961478
264300,4878495188755050,-4878495188755050
264360,7940634689560116,-7940634689560116
264420,207007575389732,-207007575389732
264480,733901330905498,-733901330905498
264540,5217849906207399,-5217849906207399
264600,1065970815543708,-1065970815543708
264660,536931760625680,-536931760625680
264720,2263770004251961,-2263770004251961
264780,109400387321502,-109400387321502
264840,523524582073839,-523524582073839
264900,824790224260790,-824790224260790
264960,22367651365470,-22367651365470
265020,2312013458709,-2312013458709
265080,198642772893992,-198642772893992
265140,173607360842,-173607360842
265200,597014957574988,-597014957574988
265260,3727759110273487,-3727759110273487
265320,2454687972542934,-2454687972542934
265380,64860181558556,-64860181558556
265440,1005684188649995,-1005684188649995
265500,904604301726717,-904604301726717
