tickIdx,liquidityNet,timestamp,current_tick,pool_id,cumulative_liquidity
-211380,-109707241962213208774119,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3960311263684016282888254
-211320,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3960311263684016282888254
-211260,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3960311263684016282888254
-211200,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3960311263684016282888254
-211140,669794385109516982908415,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-211080,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-211020,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210960,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210900,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210840,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210780,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210720,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4630105648793533265796669
-210660,-465677685943679901019858,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4164427962849853364776811
-210600,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,4164427962849853364776811
-210540,-684657252475771295454683,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3479770710374082069322128
-210480,89051634180430026655574,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3568822344554512095977702
-210420,-30365993395280011405787,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3538456351159232084571915
-210360,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3538456351159232084571915
-210300,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3538456351159232084571915
-210240,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3538456351159232084571915
-210180,-537787784742920170432712,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,3000668566416311914139203
-210120,-669794385109516982908415,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2330874181306794931230788
-210060,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2330874181306794931230788
-210000,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2330874181306794931230788
-209940,-189474402915507093068483,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2141399778391287838162305
-209880,2988757368,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2141399778391290826919673
-209820,0,1736172002,-189849,0x11950d141ecb863f01007add7d1a342041227b58,2141399778391290826919673
