tickIdx,liquidityNet,cumulative_liquidity,timestamp,current_tick,pool_id
-887220,549584282644249.0,549584282644249.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
-887160,0.0,549584282644249.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
-92100,456406095307.0,550040688739556.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
0,10943161472679.0,560983850212235.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
92040,1620915153.0,560985471127388.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
92100,3355682144151.0,564341153271539.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
114060,0.0,564341153271539.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
115860,556573869747.0,564897727141286.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
130260,17251205334.0,564914978346620.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
139200,-556573869747.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
145080,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
145140,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
151800,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
152640,40166358066529.0,604524762543402.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
152880,-40166358066529.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153360,155684471699734.0,720042876176607.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153420,-155684471699734.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153780,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
154020,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
154260,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
159000,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
161160,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
161220,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
168600,0.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
176220,358354299830.0,564716758776703.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
180900,0.0,564716758776703.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
183180,-358354299830.0,564358404476873.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
184200,20645495131032.0,585003899607905.0,1733634002,262434,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
