transaction_hash,sender,recipient,gas,gasPrice,gasPriceAdjusted,value,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp
0x595629aedc0e82cd49934862d62d0750362541d35c15c6accf84de1f0108621c,0x3451B6b219478037a1AC572706627FC2BDa1e812,0x3451B6b219478037a1AC572706627FC2BDa1e812,287644,35143059661,3.5143059661e-08,0.0,-29496363,7672132621645398374,-0.29496363,7.672132621645399,21165521,2024-11-11 16:05:11+00:00
0x06e2d2f10a598249aacc1c04fa439ab2cab89e60a34c3a06a6e7285d47c93d37,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,212110,39492399960,3.949239996e-08,1.4349058e-11,-73103233,19022182251025568714,-0.73103233,19.02218225102557,21165537,2024-11-11 16:08:23+00:00
0x185ce3856d29bc73852c48e107407fedad54e6aaf97d763cc5ee98171cf47185,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145264,47166071111,4.7166071111e-08,0.0,-69266498,18033973903721410560,-0.69266498,18.03397390372141,21165541,2024-11-11 16:09:11+00:00
0xad070c52c1335b244405b606debe2248fb60414ad34ae3b04cf60de27152e067,0x5D5B7c8A86f833bE90A96FF3860246a93F208bc0,0x0250f06fc76297Fe28D0981F0566F1c0445B3cFE,129697,56482713230,5.648271323e-08,0.0,-117969323,30736817760927840000,-1.17969323,30.73681776092784,21165543,2024-11-11 16:09:35+00:00
0x874290d46c3fc3d4ba1b0e1ede2cc5d0f2e2a668cc27805b6e07243ced4021d0,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145280,46268304866,4.6268304866e-08,0.0,-66438160,17323045853094569984,-0.6643816,17.32304585309457,21165547,2024-11-11 16:10:23+00:00
0x8e8ba50e7fcf446f6e4798efc51565ca46313a365d0888ea35efe64e9df5389c,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,147384,134713031125,1.34713031125e-07,0.0,139651611,-36184113985468706167,1.39651611,-36.184113985468706,21165600,2024-11-11 16:21:11+00:00
0xbdceb4d228b59f6a7075c4b61eb6ca3650ded420787cd0517d98357f61bbedc1,0x4906FA6188f2614f2452a6D5c8dD11030619c493,0x817648d73Fd85c802cfdE8a29Eba9F68b783cA60,300000,37498654532,3.7498654532e-08,0.0,90000000,-23298142336964116605,0.9,-23.298142336964116,21165601,2024-11-11 16:21:23+00:00
0xd5c334000801015dbea6b5e986c97ce6f13f1890c04d8f80758974a4a126cc1c,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,338982,35450487414,3.5450487414e-08,0.0,163033091,-42162034712516532843,1.63033091,-42.16203471251653,21165608,2024-11-11 16:22:47+00:00
0x446103ed185f9573533245319bf6dd077f14f6ced7bcd32517c7a491698b64c4,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,228950,55822423675,5.5822423675e-08,2.1165609e-11,79925687,-20649834143472526574,0.79925687,-20.64983414347253,21165609,2024-11-11 16:22:59+00:00
0x47e427840704bab64bd2910d4a19d08cebe9767ca1bed7853f8ca45463be2131,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,228348,34683098738,3.4683098738e-08,7.406592e-12,197318516,-50924188409907165396,1.97318516,-50.92418840990717,21165610,2024-11-11 16:23:11+00:00
0x31dcc1e99733b64ab2ad8e962edde2f46842e9f493d9bd4b3c568479c85934b3,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,430479,38966816644,3.8966816644e-08,0.0,289051146,-74444988446710216547,2.89051146,-74.44498844671021,21165611,2024-11-11 16:23:23+00:00
0xff0b5be773f8db738d6f07b527570205275fae88bf4e2f0daccd387f18e78e71,0xF3dE3C0d654FDa23daD170f0f320a92172509127,0xF3dE3C0d654FDa23daD170f0f320a92172509127,186213,40466603516,4.0466603516e-08,0.0,288412,-74183836280014958,0.00288412,-0.07418383628001496,21165612,2024-11-11 16:23:35+00:00
0x844e38c21cca0ff6152cb3925379f03e659be5648fe91b73d0087288a6075215,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,340947,42018666279,4.2018666279e-08,0.0,163825759,-42107539829475361825,1.63825759,-42.107539829475364,21165617,2024-11-11 16:24:35+00:00
0x937de953b1d14828a05e2ef45f09720c209b846909ddc2938338e99e42fd86ab,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,340947,43863403030,4.386340303e-08,0.0,194013517,-49786714462522274132,1.94013517,-49.786714462522276,21165618,2024-11-11 16:24:47+00:00
0xf7a2402d330d02e0fb7772dc30bdaae87c3961860d297ef12513f020ae37e26e,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,288950,43735347772,4.3735347772e-08,2.1165619e-11,55241422,-14159958822895193082,0.55241422,-14.159958822895193,21165619,2024-11-11 16:24:59+00:00
0xabe9562d4c505fd2903ec96fe6e3496980a49829731b0666874d8121d4f736db,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,340926,47165742120,4.716574212e-08,0.0,203753270,-52168499524235646461,2.0375327,-52.16849952423565,21165637,2024-11-11 16:28:35+00:00
0x133994cae9fc94a114f024d4a10dddd1a2b029bd7aeb8049c31d0d1dfe57f58d,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,147369,147110122454,1.47110122454e-07,0.0,142466468,-36421529141713385043,1.42466468,-36.421529141713386,21165638,2024-11-11 16:28:47+00:00
0xd4ed4c4024e05fe56360d314f78ad6ec4b29160cebb061ac25ebff63affa987d,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,146927,49061308073,4.9061308073e-08,0.0,72099030,-18414810194489978655,0.7209903,-18.414810194489977,21165739,2024-11-11 16:49:11+00:00
0xd90cc46ecf1e048c27ffcdb8df2faabfa77099d3863ba26fb137811f1e872991,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,147338,79925999125,7.9925999125e-08,0.0,104813844,-26749798339182859846,1.04813844,-26.74979833918286,21165744,2024-11-11 16:50:11+00:00
