timestamp,price
1739501688,2693.88
1739509203,2701.2
1739574002,2719.55
1739682003,2703.61
1739703602,2694.72
1739746890,2660.59
1739768402,2661.89
1739811609,2726.98
1739833202,2742.18
1739854802,2699.11
1739919602,2655.65
1740006002,2724.11
1740027603,2738.19
1740049202,2745.03
1740070802,2713.53
1740114002,2750.46
1740135602,2804.43
1740200402,2680.82
1740222002,2730.47
1740243820,2777.93
1740265202,2768.05
1740286802,2762.49
1740330003,2807.42
1740351602,2810.15
1740394802,2683.02
1740416402,2661.65
1740438003,2495.3
1740459603,2489.53
1740481202,2392.23
1740546002,2484.85
1740589202,2394.83
1740675602,2295.36
1740697202,2283.6
1740718802,2129.14
1740783602,2216.15
1740805202,2267.81
1740891603,2224.98
1740934802,2455.37
1740956401,2542.545
1740978000,2449.685
1741021200,2276.765
1741042801,2165.025
1741064401,2079.765
1741151266,2174.98
1741172401,2237.78
1741215601,2238.97
1741237201,2299.315
1741258800,2293.885
1741280400,2220.9
1741302001,2211.32
1741345201,2196.25
1741410001,2149.745
1741431601,2139.115
1741496487,2187.955
1741557600,2022.32
1741600801,2100.98
1741622401,2017.865
1741644001,1885.125
1741752000,1867.995
1741773601,1893.205
1741881672,1875.395
1741903424,1861.545
1741924801,1895.0551741932420
1741932625,1891.7951741932805
1741932835,1891.735
1741932898,1891.86
1741932912,1891.685
1741946400,1894.06
1742011201,1920.475
1742097600,1927.995
1742119263,1906.615
1742123991,1881.835
1742124050,1879.455
1742140801,1895.085
1742141460,1915.02
1742162401,1889.59
1742184001,1908.69
1742205601,1911.725
1742214723,1917.695
1742214770,1920.75
1742221622,1896.95
1742227201,1919.045
1742246630,1939.73
1742246660,1940.32
1742248801,1941.025
1742270400,1901.25
